unit,sex,age,isced11,geo,time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
PC,T,Y25-64,ED5-8,IS	: bu	: u	1.3 b	: u	: u	1.6 	3.9 	3.5 	4.5 	2.9 	3.7 	3.7 b
PC,T,Y25-64,ED5-8,IT	5.5 	4.7 b	5.7 b	4.8 	4.2 	4.2 	5.1 	5.5 	5.1 	6.3 	6.9 	7.6 b
PC,T,Y25-64,ED5-8,LT	5.8 u	5.6 u	3.6 bu	2.3 u	1.8 u	2.4 u	5.6 	6.8 	5.6 	4.8 	4.4 	3.7 b
PC,T,Y25-64,ED5-8,LU	4.0 b	3.2 	3.2 b	2.9 	3.0 b	2.2 	3.7 b	3.6 	3.5 	3.4 	3.7 	3.6 b
PC,T,Y25-64,ED5-8,LV	6.5 u	4.3 u	4.9 b	3.8 	3.6 	4.1 	7.4 	10.2 	6.9 	6.2 	5.5 	5.1 b
PC,T,Y25-64,ED5-8,MK	: 	: 	: 	19.1 	18.7 	18.7 	17.9 	19.3 	19.5 	18.8 	20.1 	19.6 b
PC,T,Y25-64,ED5-8,MT	: u	: bu	2.2 bu	: u	: u	: u	1.6 u	: u	: bu	1.7 u	1.9 u	2.4 b
PC,T,Y25-64,ED5-8,NL	2.3 	2.8 	2.8 b	2.3 	1.8 	1.6 	2.0 	2.7 b	2.8 	3.0 	3.7 b	3.6 b
PC,T,Y25-64,ED5-8,NO	2.8 b	2.8 	2.4 b	1.8 b	1.5 	1.3 	1.5 	1.8 	1.6 	1.6 	1.8 	2.1 b
PC,T,Y25-64,ED5-8,PL	5.9 b	6.1 b	5.8 b	5.0 	3.8 	3.1 	3.6 	4.2 b	4.4 	4.9 	5.0 	4.1 b
PC,T,Y25-64,ED5-8,PT	4.8 	3.9 b	5.3 b	5.3 	6.5 	5.7 	5.6 	6.1 	7.8 b	10.2 	11.4 	8.9 b
PC,T,Y25-64,ED5-8,RO	2.8 b	2.6 	3.1 b	2.9 	2.2 	1.9 	3.2 	3.7 b	3.6 	4.1 	4.3 	4.7 b
PC,T,Y25-64,ED5-8,SE	3.4 	3.8 	4.5 b	4.2 b	3.4 	3.3 	4.3 	4.5 	4.1 	4.0 	4.0 	4.0 b
PC,T,Y25-64,ED5-8,SI	3.7 u	2.6 u	3.0 b	3.0 	3.2 	3.1 	3.1 	4.1 	4.7 	5.8 	5.8 	6.1 b
PC,T,Y25-64,ED5-8,SK	3.2 b	4.9 	4.4 b	2.7 	3.4 	3.0 	3.4 	4.9 	5.3 b	6.0 	6.5 	5.8 b
PC,T,Y25-64,ED5-8,TR	: 	: 	: 	5.9 	5.9 	6.5 	8.1 	7.0 	6.8 	6.7 	6.9 	8.1 b
PC,T,Y25-64,ED5-8,UK	2.3 	2.2 b	2.1 b	2.2 b	2.1 b	2.3 b	3.2 b	3.4 b	3.7 b	3.7 	3.2 	2.7 b
